,Наименование вакансии,Ссылка на вакансию,Минимальная з/п,Максимальная з/п,Валюта
36,Инженер-химик,https://kazan.hh.ru/vacancy/46894527?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,45000.0,,руб.
37,Ведущий специалист-химик,https://kazan.hh.ru/vacancy/46948995?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,40000.0,,руб.
38,Химик-инженер / химик-лаборант,https://kazan.hh.ru/vacancy/45470428?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,50000.0,,руб.
39,"Биотехнолог, Микробиолог (научный сотрудник в лабораторию)",https://kazan.hh.ru/vacancy/46452236?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
40,Инженер-технолог группы буферных растворов (химик),https://kazan.hh.ru/vacancy/46368952?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,35000.0,40000.0,руб.
41,Химик,https://kazan.hh.ru/vacancy/46899651?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
42,Инженер-химик,https://kazan.hh.ru/vacancy/46850035?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,45000.0,60000.0,руб.
43,Лаборант химико-бактериологического анализа,https://kazan.hh.ru/vacancy/46424564?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,21000.0,,руб.
44,Аппаратчик химико-технологический процессов,https://kazan.hh.ru/vacancy/45393748?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
45,Химик,https://kazan.hh.ru/vacancy/46952392?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
46,Химик-технолог ЛКМ,https://kazan.hh.ru/vacancy/46663046?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
47,Инженер-химик,https://kazan.hh.ru/vacancy/46995288?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
48,Химик-лаборант,https://kazan.hh.ru/vacancy/46874109?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,30000.0,50000.0,руб.
49,Техник-лаборант/инженер по качеству,https://kazan.hh.ru/vacancy/46949770?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
50,Инженер-химик ВЭЖХ,https://kazan.hh.ru/vacancy/46850001?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,45000.0,60000.0,руб.
51,Инженер-химик 1 категории,https://kazan.hh.ru/vacancy/45659995?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,60000.0,65000.0,руб.
52,Инженер-химик,https://kazan.hh.ru/vacancy/46517176?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,30000.0,,руб.
53,Лаборант по физико-механическим испытаниям,https://kazan.hh.ru/vacancy/46732788?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
