,Наименование вакансии,Ссылка на вакансию,Минимальная з/п,Максимальная з/п,Валюта
156,Химик-технолог (Москва),https://kazan.hh.ru/vacancy/46771317?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,50000.0,,руб.
157,Химик-разработчик,https://kazan.hh.ru/vacancy/46815788?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
158,Химик (постадийный контроль),https://kazan.hh.ru/vacancy/46739994?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
159,Химик-разработчик,https://kazan.hh.ru/vacancy/46777017?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
160,Химик-технолог фармацевтического производства препаратов (разработка),https://kazan.hh.ru/vacancy/46771295?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
161,Биохимик/Инженер-химик,https://kazan.hh.ru/vacancy/43510842?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
162,Химик-разработчик,https://kazan.hh.ru/vacancy/46408081?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,30000.0,,руб.
163,Химик/сотрудник лаборатории,https://kazan.hh.ru/vacancy/45256012?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
164,Инженер по обеспечению качества,https://kazan.hh.ru/vacancy/44488394?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
165,Химик-лаборант,https://kazan.hh.ru/vacancy/45981968?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
166,Биохимик / Биотехнолог (Химик-технолог),https://kazan.hh.ru/vacancy/46723412?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,40000.0,,руб.
167,Химик,https://kazan.hh.ru/vacancy/45306185?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
168,Химик-аналитик,https://kazan.hh.ru/vacancy/45938166?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,85000.0,руб.
169,Инженер-химик,https://kazan.hh.ru/vacancy/46897845?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,28000.0,41100.0,руб.
170,Лаборант химического анализа,https://kazan.hh.ru/vacancy/44132840?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,29500.0,29500.0,руб.
171,Химик-аналитик 1 категории (остров Голодный),https://kazan.hh.ru/vacancy/45466942?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,31200.0,31200.0,руб.
172,«Лаборант химического анализа [id91901]»,https://kazan.hh.ru/vacancy/43693367?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
173,Инженер-технолог (лаборатория),https://kazan.hh.ru/vacancy/46075703?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,55000.0,,руб.
174,Инженер-химик,https://kazan.hh.ru/vacancy/46710246?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,60000.0,,руб.
175,Технолог,https://kazan.hh.ru/vacancy/46564944?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
176,Лаборант-исследователь,https://kazan.hh.ru/vacancy/45953031?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,32000.0,32000.0,руб.
177,"Инженер-химик, Зеленоград",https://kazan.hh.ru/vacancy/42734583?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,51000.0,,руб.
178,Инженер-химик (специалист по поверхностно-активным веществам),https://kazan.hh.ru/vacancy/46744749?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
179,Инженер-химик,https://kazan.hh.ru/vacancy/46710250?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,60000.0,,руб.
180,Инженер-химик,https://kazan.hh.ru/vacancy/46710264?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,60000.0,,руб.
181,Инженер-исследователь (химик),https://kazan.hh.ru/vacancy/46755237?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,50000.0,50000.0,руб.
182,Химик,https://kazan.hh.ru/vacancy/46742562?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,25000.0,38000.0,руб.
183,Лаборант аналитической лаборатории,https://kazan.hh.ru/vacancy/46826154?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
184,Инженер-химик,https://kazan.hh.ru/vacancy/46794638?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,34320.0,34320.0,руб.
185,Химик (с.Тербуны Липецкой области),https://kazan.hh.ru/vacancy/46783634?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,40000.0,45000.0,руб.
186,Химик (с.Тербуны Липецкой области),https://kazan.hh.ru/vacancy/46783636?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,40000.0,45000.0,руб.
187,Инженер-химик,https://kazan.hh.ru/vacancy/46830080?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,35000.0,35000.0,руб.
188,Инженер-химик,https://kazan.hh.ru/vacancy/46710261?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,60000.0,,руб.
189,Инженер-химик,https://kazan.hh.ru/vacancy/46710256?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,60000.0,,руб.
190,Инженер-химик,https://kazan.hh.ru/vacancy/46710260?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,60000.0,,руб.
191,Инженер-химик,https://kazan.hh.ru/vacancy/46710267?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,60000.0,,руб.
192,Химик ОКК,https://kazan.hh.ru/vacancy/46796257?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
193,Лаборант углехимического анализа,https://kazan.hh.ru/vacancy/45838529?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
194,Инженер – технолог (Химик-гальваник),https://kazan.hh.ru/vacancy/46732791?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,30000.0,,руб.
195,Инженер-химик,https://kazan.hh.ru/vacancy/46710253?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,60000.0,,руб.
196,Химик,https://kazan.hh.ru/vacancy/46718348?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
197,Инженер-химик,https://kazan.hh.ru/vacancy/46710262?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,60000.0,,руб.
198,Инженер-химик,https://kazan.hh.ru/vacancy/46710266?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,60000.0,,руб.
199,Инженер-химик,https://kazan.hh.ru/vacancy/46710269?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,60000.0,,руб.
200,Лаборант-Химик/Химик (Фармацевт),https://kazan.hh.ru/vacancy/46650925?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,50000.0,,руб.
201,Химик (с.Тербуны Липецкой области),https://kazan.hh.ru/vacancy/46783633?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,40000.0,45000.0,руб.
202,Химик-технолог,https://kazan.hh.ru/vacancy/46766923?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,23500.0,,руб.
203,Техник-химик,https://kazan.hh.ru/vacancy/46382357?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,36000.0,,руб.
204,Инженер-химик,https://kazan.hh.ru/vacancy/45962408?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,33500.0,33500.0,руб.
205,Инженер/Инженер-химик химико-токсикологического отдела Московской испытательной лаборатории,https://kazan.hh.ru/vacancy/42473943?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
206,Инженер-химик по внедрению продукции,https://kazan.hh.ru/vacancy/46712369?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,23000.0,,руб.
207,Инженер-химик,https://kazan.hh.ru/vacancy/46710259?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,60000.0,,руб.
208,Инженер технолог-химик,https://kazan.hh.ru/vacancy/46557630?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,67500.0,,руб.
209,Инженер-химик,https://kazan.hh.ru/vacancy/46715518?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,30000.0,,руб.
210,Младший химик,https://kazan.hh.ru/vacancy/46689865?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
211,Химик-аналитик,https://kazan.hh.ru/vacancy/43722695?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,72000.0,руб.
212,Главный технолог/Химик,https://kazan.hh.ru/vacancy/46470258?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,100000.0,,руб.
213,Химик,https://kazan.hh.ru/vacancy/45730765?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,20000.0,24000.0,руб.
214,Лаборант химического анализа (ОТК),https://kazan.hh.ru/vacancy/45749371?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,21300.0,21300.0,руб.
215,Химик-аналитик 2 категории в Лабораторию анализа почв и оценки почвенного плодородия,https://kazan.hh.ru/vacancy/46666653?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,50000.0,55000.0,руб.
216,Химик-аналитик,https://kazan.hh.ru/vacancy/46733428?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,30450.0,,руб.
217,Химик-технолог / помощник технолога,https://kazan.hh.ru/vacancy/46620629?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,100000.0,руб.
218,Специалист отдела контроля качества/химик,https://kazan.hh.ru/vacancy/45811296?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,50000.0,,руб.
219,Инженер-химик центральной заводской лаборатории,https://kazan.hh.ru/vacancy/44173172?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
220,Инженер-химик (хроматографист),https://kazan.hh.ru/vacancy/46669306?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
221,Инженер-химик,https://kazan.hh.ru/vacancy/39393511?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,18000.0,,руб.
222,Химик - микробиолог,https://kazan.hh.ru/vacancy/42115919?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
223,Химик-лаборант,https://kazan.hh.ru/vacancy/46694756?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,40000.0,60000.0,руб.
224,Химик,https://kazan.hh.ru/vacancy/45066052?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,45000.0,,руб.
225,Инженер-химик (хроматографист),https://kazan.hh.ru/vacancy/46669496?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
226,Технолог Лаборант химик в лабораторию металлургии,https://kazan.hh.ru/vacancy/46801993?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,25000.0,30000.0,руб.
227,"Лаборант-контролер качества, г. Дубна",https://kazan.hh.ru/vacancy/46717139?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,30000.0,30000.0,руб.
228,Химик (с.Тербуны Липецкой области),https://kazan.hh.ru/vacancy/46783635?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,40000.0,45000.0,руб.
229,Инженер-химик,https://kazan.hh.ru/vacancy/46703454?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,40000.0,,руб.
230,Химик-лаборант,https://kazan.hh.ru/vacancy/43750196?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,30000.0,32000.0,руб.
231,Инженер-химик,https://kazan.hh.ru/vacancy/46612787?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,30450.0,33000.0,руб.
232,Инженер-химик,https://kazan.hh.ru/vacancy/45237618?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
233,Химик,https://kazan.hh.ru/vacancy/45631886?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
234,Инженер-химик (синтетические моющие средства),https://kazan.hh.ru/vacancy/46662963?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
235,Химик,https://kazan.hh.ru/vacancy/43866422?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
236,Инженер-химик,https://kazan.hh.ru/vacancy/46641640?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,60000.0,65000.0,руб.
237,Химик 2 категории отдела технического контроля,https://kazan.hh.ru/vacancy/46783715?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,30000.0,,руб.
238,Химик-лаборант/Инженер-химик на НПЗ,https://kazan.hh.ru/vacancy/46620651?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,40000.0,,руб.
239,Инженер-химик,https://kazan.hh.ru/vacancy/39105188?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,67000.0,,руб.
240,Химик-технолог (Тамбов),https://kazan.hh.ru/vacancy/45360055?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,35000.0,руб.
241,Инженер-химик,https://kazan.hh.ru/vacancy/46740641?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,25000.0,28000.0,руб.
242,Лаборант,https://kazan.hh.ru/vacancy/45923594?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
243,Химик-технолог,https://kazan.hh.ru/vacancy/46605723?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,40000.0,,руб.
244,Инженер-технолог гальваники (химик),https://kazan.hh.ru/vacancy/46398823?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,40000.0,,руб.
245,Химик-аналитик,https://kazan.hh.ru/vacancy/46710585?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,35000.0,,руб.
246,Химик-синтетик,https://kazan.hh.ru/vacancy/45745696?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
247,Химик-технолог (4830),https://kazan.hh.ru/vacancy/43321871?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,40000.0,,руб.
248,Инженер-химик (хроматографист),https://kazan.hh.ru/vacancy/46669540?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
249,Инженер-химик (хроматографист),https://kazan.hh.ru/vacancy/46669438?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
250,Ведущий инженер-химик,https://kazan.hh.ru/vacancy/46559760?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,90000.0,,руб.
251,Инженер-химик (хроматографист),https://kazan.hh.ru/vacancy/46668923?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
252,Химик-технолог (Тамбов),https://kazan.hh.ru/vacancy/45360059?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,35000.0,руб.
253,Химик-технолог (Тамбов),https://kazan.hh.ru/vacancy/45360058?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,35000.0,руб.
254,Ведущий инженер-химик,https://kazan.hh.ru/vacancy/46019456?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,22000.0,,руб.
255,Инженер-химик,https://kazan.hh.ru/vacancy/46670774?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
256,Химик-технолог (Тамбов),https://kazan.hh.ru/vacancy/45360060?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,35000.0,руб.
257,Химик-аналитик,https://kazan.hh.ru/vacancy/46561889?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
258,Ведущий химик-аналитик,https://kazan.hh.ru/vacancy/44709642?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,80000.0,,руб.
259,Химик,https://kazan.hh.ru/vacancy/45990956?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
260,Химик контрольно-аналитической лаборатории,https://kazan.hh.ru/vacancy/46732337?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,29700.0,33000.0,руб.
261,Химик-технолог по полимерам,https://kazan.hh.ru/vacancy/45515905?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
262,Аппаратчик химического производства/оператор химпроизводства (химик-технолог),https://kazan.hh.ru/vacancy/46565919?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,30000.0,60000.0,руб.
263,Химик-аналитик,https://kazan.hh.ru/vacancy/41603187?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,50000.0,,руб.
264,Химик-лаборант/Инженер-химик на НПЗ,https://kazan.hh.ru/vacancy/46620650?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,40000.0,,руб.
265,Инженер-химик,https://kazan.hh.ru/vacancy/46641641?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,60000.0,65000.0,руб.
266,Химик-разработчик,https://kazan.hh.ru/vacancy/43414131?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
267,Химик-эксперт медицинской организации,https://kazan.hh.ru/vacancy/43354298?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,11000.0,,руб.
268,Химик-технолог,https://kazan.hh.ru/vacancy/46708145?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,35000.0,40000.0,руб.
269,Химик,https://kazan.hh.ru/vacancy/45328524?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,20000.0,,руб.
270,Химик-аналитик/Инженер-химик,https://kazan.hh.ru/vacancy/46550986?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,50000.0,60000.0,руб.
271,Инженер-химик центральной заводской лаборатории,https://kazan.hh.ru/vacancy/46835767?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
272,Химик-технолог,https://kazan.hh.ru/vacancy/46582280?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
273,Химик-лаборант,https://kazan.hh.ru/vacancy/46560760?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
274,Химик-технолог,https://kazan.hh.ru/vacancy/46694028?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,30000.0,руб.
275,Инженер-химик,https://kazan.hh.ru/vacancy/43942406?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,27800.0,,руб.
276,Инженер-химик (синтетические моющие средства),https://kazan.hh.ru/vacancy/46662962?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
277,Инженер-химик,https://kazan.hh.ru/vacancy/46604691?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,35000.0,,руб.
278,Химик,https://kazan.hh.ru/vacancy/37831770?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
279,Химик-лаборант,https://kazan.hh.ru/vacancy/46560757?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
280,Лаборант углехимического анализа,https://kazan.hh.ru/vacancy/45838555?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,25000.0,руб.
281,Химик - микробиолог,https://kazan.hh.ru/vacancy/42115905?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
282,Химик-лаборант гальванического цеха,https://kazan.hh.ru/vacancy/41805261?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
283,Инженер химик,https://kazan.hh.ru/vacancy/46535499?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
284,Лаборант химического анализа,https://kazan.hh.ru/vacancy/46559397?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,20000.0,25000.0,руб.
285,Ведущий химик,https://kazan.hh.ru/vacancy/45887190?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,32000.0,36000.0,руб.
286,Инженер-химик I категории,https://kazan.hh.ru/vacancy/40753467?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,26000.0,,руб.
287,Инженер-химик ОТК,https://kazan.hh.ru/vacancy/46514625?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
288,Химик-лаборант,https://kazan.hh.ru/vacancy/46619476?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,35000.0,,руб.
289,Химик-лаборант,https://kazan.hh.ru/vacancy/44639499?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
290,"Химик ОКК (ВЕРОФАРМ, п. Вольгинский)",https://kazan.hh.ru/vacancy/46620673?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
291,Инженер-технолог-химик,https://kazan.hh.ru/vacancy/43883941?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
292,Химик-технолог,https://kazan.hh.ru/vacancy/46467637?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,50000.0,,руб.
293,Химик-Технолог / Инженер (Разработчик рецептур косметики),https://kazan.hh.ru/vacancy/46533263?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
294,Химик/Инженер-химик,https://kazan.hh.ru/vacancy/46508082?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,35000.0,35000.0,руб.
295,Инженер-химик,https://kazan.hh.ru/vacancy/46638141?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,40000.0,,руб.
296,Инженер-химик в испытательную лабораторию (Хроматографист),https://kazan.hh.ru/vacancy/46512136?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,80000.0,,руб.
297,Инженер - технолог (химик),https://kazan.hh.ru/vacancy/44577485?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,23000.0,,руб.
298,Инженер-химик (Ярославль),https://kazan.hh.ru/vacancy/46647135?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
299,Лаборант химического анализа 4 разряда (пос. Новые Ляды),https://kazan.hh.ru/vacancy/46691666?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,26000.0,27000.0,руб.
300,Химик-лаборант (бытовая химия),https://kazan.hh.ru/vacancy/46429154?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,45000.0,47000.0,руб.
301,Инженер-лаборант аналитической группы,https://kazan.hh.ru/vacancy/42531725?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,31300.0,,руб.
302,Химик,https://kazan.hh.ru/vacancy/46407829?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,60000.0,,руб.
303,Инженер-химик,https://kazan.hh.ru/vacancy/46569425?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
304,Ведущий инженер-химик (Пробино-аналитическая лаборатория),https://kazan.hh.ru/vacancy/46462841?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
305,Химик-аналитик,https://kazan.hh.ru/vacancy/38928684?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
306,Химик,https://kazan.hh.ru/vacancy/46553739?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
307,Инженер химик-технолог,https://kazan.hh.ru/vacancy/46488384?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,55000.0,65000.0,руб.
308,Химик-аналитик (аналитической лаборатории),https://kazan.hh.ru/vacancy/44901718?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
309,Химик-технолог,https://kazan.hh.ru/vacancy/46594890?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,26000.0,,руб.
310,Химик-технолог,https://kazan.hh.ru/vacancy/45689838?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,100000.0,,руб.
311,Инженер-химик (хроматографист),https://kazan.hh.ru/vacancy/46539081?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
312,Инженер-химик,https://kazan.hh.ru/vacancy/46395709?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,100000.0,,руб.
313,Химик-синтетик / Научный сотрудник,https://kazan.hh.ru/vacancy/45686484?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
314,Лаборант химико-бактериологического анализа,https://kazan.hh.ru/vacancy/42829416?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,23000.0,23000.0,руб.
